user,index_col,location,tweet,Date,Tweet Coordinates
TV9Bharatvarsh,1,"Noida, India",अरब सगर म मलबर यदधभयस क दसर फज आज स शर quad दश क सथ आन स चन क बढ चत पढए पर ख httpstcogxxwvusjk4,2020-11-17 03:06:00,
TV9Bharatvarsh,2,"Noida, India",अरब सगर म मलबर यदधभयस क दसर फज आज स शर quad दश क सथ आन स चन क बढ चत पढए पर ख httpstcogxxwvusjk4,2020-11-17 03:06:00,
TV9Bharatvarsh,3,"Noida, India",अरब सगर म मलबर यदधभयस क दसर फज आज स शर quad दश क सथ आन स चन क बढ चत पढए पर ख httpstcogxxwvusjk4,2020-11-17 03:06:00,
TV9Bharatvarsh,4,"Noida, India",दखए दशदनय क हर बड खबर लकल to गलबल top 100 मlocaltoglobal america quad malabar httpstcobsfaaobavq,2020-11-17 03:19:32,
TV9Bharatvarsh,5,"Noida, India",दखए दशदनय क हर बड खबर लकल to गलबल top 100 मlocaltoglobal america quad malabar httpstcobsfaaobavq,2020-11-17 03:19:32,
TV9Bharatvarsh,6,"Noida, India",दखए दशदनय क हर बड खबर लकल to गलबल top 100 मlocaltoglobal america quad malabar httpstcobsfaaobavq,2020-11-17 03:19:32,
TV9Bharatvarsh,7,"Noida, India",समदर म चन क खलफ quad दश क तयरthesamirabbas genvishnu achalmalhotra1 javedghaffari httpstcorvmcpqyaxt,2020-11-17 07:00:39,
TV9Bharatvarsh,8,"Noida, India",समदर म चन क खलफ quad दश क तयरthesamirabbas genvishnu achalmalhotra1 javedghaffari httpstcorvmcpqyaxt,2020-11-17 07:00:39,
TV9Bharatvarsh,9,"Noida, India",समदर म चन क खलफ quad दश क तयरthesamirabbas genvishnu achalmalhotra1 javedghaffari httpstcorvmcpqyaxt,2020-11-17 07:00:39,
SDeviputra,10,"Jodhpur, India",tv9bharatvarsh अरब सगर म मलबर यदधभयस क दसर फज आज स शर quad दश क सथ आन स चन क बढ चत पढए पर खबर,2020-11-17 10:06:59,
SDeviputra,11,"Jodhpur, India",tv9bharatvarsh अरब सगर म मलबर यदधभयस क दसर फज आज स शर quad दश क सथ आन स चन क बढ चत पढए पर खबर,2020-11-17 10:06:59,
TV9Bharatvarsh,12,"Noida, India",मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc httpstcofbbcf15hsn,2020-11-17 11:24:37,
TV9Bharatvarsh,13,"Noida, India",मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc httpstcofbbcf15hsn,2020-11-17 11:24:37,
TV9Bharatvarsh,14,"Noida, India",मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc httpstcofbbcf15hsn,2020-11-17 11:24:37,
TV9Bharatvarsh,15,"Noida, India",मलबर एकसरसइज स चन क हलत खरबदखए फल फइनलmalabarwarexercise china quad loc httpstcofbbcf15hsn,2020-11-17 11:24:37,
